fips,population
53033,2252782
53061,822083
53063,522798
53071,60760
55025,546695
04013,4485414
06001,1671329
06013,1153526
06023,135558
06037,10039107
06041,258826
06055,137744
06059,3175692
06061,398329
06067,1552058
06073,3338330
06075,881549
06081,766573
06085,1927852
06095,447643
06097,494336
12057,1471968
12081,403253
13121,1063937
17031,5150233
25021,706775
25025,803907
31055,571327
33009,89886
34003,932202
NA,NA
36119,967506
37183,1111761
41067,601592
NA,NA
48029,2003554
48157,811688
49035,1160437
53007,77200
53033,2252782
53061,822083
53063,522798
53071,60760
55025,546695
04013,4485414
06001,1671329
06013,1153526
06023,135558
06037,10039107
06041,258826
06055,137744
06059,3175692
06061,398329
06067,1552058
06073,3338330
06075,881549
06081,766573
06085,1927852
06095,447643
06097,494336
08035,351154
08059,582881
12057,1471968
12081,403253
12113,184313
13121,1063937
17031,5150233
24031,1050688
25017,1611699
25021,706775
25025,803907
31055,571327
32003,2266715
32031,471519
33009,89886
34003,932202
36059,1356924
NA,NA
36119,967506
37183,1111761
41067,601592
NA,NA
47187,238412
48029,2003554
48157,811688
48201,4713325
49035,1160437
53007,77200
53033,2252782
53061,822083
53063,522798
53071,60760
55025,546695
04013,4485414
04021,462789
06001,1671329
06013,1153526
06023,135558
06037,10039107
06041,258826
06055,137744
06059,3175692
06061,398329
06067,1552058
06073,3338330
06075,881549
06081,766573
06085,1927852
06095,447643
06097,494336
06113,220500
08031,727211
08035,351154
08037,55127
08041,720403
08059,582881
12011,1952778
12057,1471968
12071,770577
12081,403253
12113,184313
13121,1063937
13233,42613
15003,974563
17031,5150233
18097,964582
21067,323152
24031,1050688
25017,1611699
25021,706775
25025,803907
27123,550321
31055,571327
32003,2266715
32031,471519
33009,89886
34003,932202
34007,506471
36059,1356924
NA,NA
36087,325789
36119,967506
37037,74470
37183,1111761
40143,651552
41067,601592
42045,566747
42127,51361
NA,NA
45019,411406
45055,66551
47187,238412
48029,2003554
48157,811688
48201,4713325
49011,355481
49035,1160437
49053,177556
53007,77200
53011,488241
53031,32221
53033,2252782
53053,904980
53061,822083
53063,522798
53071,60760
55025,546695
04013,4485414
04021,462789
06001,1671329
06013,1153526
06019,999101
06023,135558
06037,10039107
06039,157327
06041,258826
06055,137744
06059,3175692
06061,398329
06065,2470546
06067,1552058
06073,3338330
06075,881549
06081,766573
06085,1927852
06087,273213
06095,447643
06097,494336
06113,220500
08031,727211
08035,351154
08037,55127
08041,720403
08059,582881
11001,705749
12011,1952778
12015,188910
12057,1471968
12071,770577
12081,403253
12091,210738
12113,184313
12127,553284
13067,760141
13121,1063937
13135,936250
13233,42613
15003,974563
17031,5150233
18097,964582
20091,602401
21067,323152
24031,1050688
25003,124944
25017,1611699
25021,706775
25025,803907
27123,550321
29189,994205
31055,571327
32003,2266715
32031,471519
33009,89886
33015,309769
34003,932202
34007,506471
36059,1356924
NA,NA
36087,325789
36091,229863
36119,967506
37037,74470
37183,1111761
40143,651552
41029,220944
41035,68238
41067,601592
42045,566747
42091,830915
42127,51361
NA,NA
45019,411406
45055,66551
47187,238412
48029,2003554
48157,811688
48201,4713325
49011,355481
49035,1160437
49053,177556
50003,35470
51059,1147532
53007,77200
53011,488241
53031,32221
53033,2252782
53037,47935
53053,904980
53061,822083
53063,522798
53071,60760
55025,546695
04013,4485414
04021,462789
06001,1671329
06013,1153526
06019,999101
06023,135558
06037,10039107
06039,157327
06041,258826
06055,137744
06059,3175692
06061,398329
06065,2470546
06067,1552058
06073,3338330
06075,881549
06081,766573
06085,1927852
06087,273213
06095,447643
06097,494336
06113,220500
08031,727211
08035,351154
08037,55127
08041,720403
08059,582881
09001,943332
11001,705749
12011,1952778
12015,188910
12057,1471968
12071,770577
12081,403253
12091,210738
12113,184313
12127,553284
13057,258773
13067,760141
13121,1063937
13135,936250
13233,42613
15003,974563
17031,5150233
18063,170311
18097,964582
19103,151140
20091,602401
21067,323152
21097,18886
21111,766757
24025,255441
24031,1050688
25003,124944
25017,1611699
25021,706775
25025,803907
25027,830622
27019,105089
27123,550321
29189,994205
